Name,Value,Geography,GeoID,Source,Vintage,Variable,Year
Andover,3303,Town,0911001080,PEP,2020 Intercensal,Estimate Base,2010
Andover,3302,Town,0911001080,PEP,2020 Intercensal,Population Estimate,2010
Andover,3289,Town,0911001080,PEP,2020 Intercensal,Population Estimate,2011
Andover,3263,Town,0911001080,PEP,2020 Intercensal,Population Estimate,2012
Andover,3250,Town,0911001080,PEP,2020 Intercensal,Population Estimate,2013
Andover,3240,Town,0911001080,PEP,2020 Intercensal,Population Estimate,2014
Andover,3224,Town,0911001080,PEP,2020 Intercensal,Population Estimate,2015
Andover,3202,Town,0911001080,PEP,2020 Intercensal,Population Estimate,2016
Andover,3186,Town,0911001080,PEP,2020 Intercensal,Population Estimate,2017
Andover,3168,Town,0911001080,PEP,2020 Intercensal,Population Estimate,2018
Andover,3157,Town,0911001080,PEP,2020 Intercensal,Population Estimate,2019
Andover,3148,Town,0911001080,PEP,2020 Intercensal,Population Estimate,2020
Ansonia,19278,Town,0914001220,PEP,2020 Intercensal,Estimate Base,2010
Ansonia,19284,Town,0914001220,PEP,2020 Intercensal,Population Estimate,2010
Ansonia,19280,Town,0914001220,PEP,2020 Intercensal,Population Estimate,2011
Ansonia,19314,Town,0914001220,PEP,2020 Intercensal,Population Estimate,2012
Ansonia,19207,Town,0914001220,PEP,2020 Intercensal,Population Estimate,2013
Ansonia,19206,Town,0914001220,PEP,2020 Intercensal,Population Estimate,2014
Ansonia,19135,Town,0914001220,PEP,2020 Intercensal,Population Estimate,2015
Ansonia,19058,Town,0914001220,PEP,2020 Intercensal,Population Estimate,2016
Ansonia,19035,Town,0914001220,PEP,2020 Intercensal,Population Estimate,2017
Ansonia,19045,Town,0914001220,PEP,2020 Intercensal,Population Estimate,2018
Ansonia,18964,Town,0914001220,PEP,2020 Intercensal,Population Estimate,2019
Ansonia,18919,Town,0914001220,PEP,2020 Intercensal,Population Estimate,2020
Ashford,4303,Town,0915001430,PEP,2020 Intercensal,Estimate Base,2010
Ashford,4304,Town,0915001430,PEP,2020 Intercensal,Population Estimate,2010
Ashford,4283,Town,0915001430,PEP,2020 Intercensal,Population Estimate,2011
Ashford,4260,Town,0915001430,PEP,2020 Intercensal,Population Estimate,2012
Ashford,4243,Town,0915001430,PEP,2020 Intercensal,Population Estimate,2013
Ashford,4211,Town,0915001430,PEP,2020 Intercensal,Population Estimate,2014
Ashford,4196,Town,0915001430,PEP,2020 Intercensal,Population Estimate,2015
Ashford,4178,Town,0915001430,PEP,2020 Intercensal,Population Estimate,2016
Ashford,4189,Town,0915001430,PEP,2020 Intercensal,Population Estimate,2017
Ashford,4216,Town,0915001430,PEP,2020 Intercensal,Population Estimate,2018
Ashford,4204,Town,0915001430,PEP,2020 Intercensal,Population Estimate,2019
Ashford,4191,Town,0915001430,PEP,2020 Intercensal,Population Estimate,2020
Avon,18092,Town,0911002060,PEP,2020 Intercensal,Estimate Base,2010
Avon,18174,Town,0911002060,PEP,2020 Intercensal,Population Estimate,2010
Avon,18287,Town,0911002060,PEP,2020 Intercensal,Population Estimate,2011
Avon,18442,Town,0911002060,PEP,2020 Intercensal,Population Estimate,2012
