Name,Value,Geography,GeoID,Source,Vintage,Variable,Year
Andover,3233,Town,0911001080,PEP,2020,Population Estimate,Apr 1 2020 Estimate
Andover,3228,Town,0911001080,PEP,2020,Population Estimate,2020
Andover,3132,Town,0911001080,PEP,2021,Estimate Base,2020
Andover,3130,Town,0911001080,PEP,2021,Population Estimate,2020
Andover,3133,Town,0911001080,PEP,2021,Population Estimate,2021
Andover,3153,Town,0911001080,PEP,2022,Estimate Base,2020
Andover,3150,Town,0911001080,PEP,2022,Population Estimate,2020
Andover,3151,Town,0911001080,PEP,2022,Population Estimate,2021
Andover,3150,Town,0911001080,PEP,2022,Population Estimate,2022
Andover,3150,Town,0911001080,PEP,2023,Estimate Base,2020
Andover,3147,Town,0911001080,PEP,2023,Population Estimate,2020
Andover,3149,Town,0911001080,PEP,2023,Population Estimate,2021
Andover,3147,Town,0911001080,PEP,2023,Population Estimate,2022
Andover,3144,Town,0911001080,PEP,2023,Population Estimate,2023
Andover,1324,Town,0911001080,2020 Census PL File,NA,HousingUnits,Apr 1 2020 Estimate
Andover,3151,Town,0911001080,2020 Census PL File,NA,Population,Apr 1 2020 Estimate
Andover,3150,Town,0911001080,DPH,DPH,Population Estimate,2022
Andover,3133,Town,0911001080,DPH,DPH,Population Estimate,2021
Andover,3149,Town,0911001080,DPH,DPH,Population Estimate,2020
Andover,3,Town,0911001080,Building Permits Survey,NA,New Housing Units,2020
Andover,3,Town,0911001080,Building Permits Survey,NA,New Housing Units,2021
Andover,1,Town,0911001080,Building Permits Survey,NA,New Housing Units,2022
Andover,0,Town,0911001080,Building Permits Survey,NA,New Housing Units,2023
Ansonia,18565,Town,0914001220,PEP,2020,Population Estimate,Apr 1 2020 Estimate
Ansonia,18525,Town,0914001220,PEP,2020,Population Estimate,2020
Ansonia,18929,Town,0914001220,PEP,2021,Estimate Base,2020
Ansonia,18880,Town,0914001220,PEP,2021,Population Estimate,2020
Ansonia,18815,Town,0914001220,PEP,2021,Population Estimate,2021
Ansonia,18913,Town,0914001220,PEP,2022,Estimate Base,2020
Ansonia,18885,Town,0914001220,PEP,2022,Population Estimate,2020
Ansonia,18926,Town,0914001220,PEP,2022,Population Estimate,2021
Ansonia,18923,Town,0914001220,PEP,2022,Population Estimate,2022
Ansonia,18913,Town,0914001220,PEP,2023,Estimate Base,2020
Ansonia,18886,Town,0914001220,PEP,2023,Population Estimate,2020
Ansonia,18927,Town,0914001220,PEP,2023,Population Estimate,2021
Ansonia,18929,Town,0914001220,PEP,2023,Population Estimate,2022
Ansonia,19008,Town,0914001220,PEP,2023,Population Estimate,2023
Ansonia,8104,Town,0914001220,2020 Census PL File,NA,HousingUnits,Apr 1 2020 Estimate
